,user_id,layout_id,ratings
0,TEsMT2ssaIOeeYroq47ul7Byzub2,L1,1.0
1,TEsMT2ssaIOeeYroq47ul7Byzub2,L3,1.0
2,TEsMT2ssaIOeeYroq47ul7Byzub2,L2,1.0
3,TEsMT2ssaIOeeYroq47ul7Byzub2,gridLayoutHorizontal5,1.0
4,TEsMT2ssaIOeeYroq47ul7Byzub2,gridLayoutHorizontal3,1.0
5,TEsMT2ssaIOeeYroq47ul7Byzub2,L4,1.0
6,TEsMT2ssaIOeeYroq47ul7Byzub2,gridLayoutHorizontal4,1.0
7,TEsMT2ssaIOeeYroq47ul7Byzub2,gridLayoutHorizontal1,1.0
8,TEsMT2ssaIOeeYroq47ul7Byzub2,gridLayoutHorizontal2,1.0
9,TEsMT2ssaIOeeYroq47ul7Byzub2,L5,1.0
10,lws8XqradLMg6flQjxaISKYCgPk1,L1,5.0
11,lws8XqradLMg6flQjxaISKYCgPk1,L3,1.0
12,lws8XqradLMg6flQjxaISKYCgPk1,L4,1.0
13,lws8XqradLMg6flQjxaISKYCgPk1,gridLayoutHorizontal1,1.0
14,lws8XqradLMg6flQjxaISKYCgPk1,L5,3.0
15,lws8XqradLMg6flQjxaISKYCgPk1,L2,1.0
16,ZFsZz9ux9Ch04ONvDfe3dHNQNj22,L4,1.0
17,ZFsZz9ux9Ch04ONvDfe3dHNQNj22,L2,1.0
18,ZFsZz9ux9Ch04ONvDfe3dHNQNj22,L5,1.0
19,ZFsZz9ux9Ch04ONvDfe3dHNQNj22,L1,1.0
20,ZFsZz9ux9Ch04ONvDfe3dHNQNj22,L3,2.0
21,U7qsQi7Et7cE10FdgUn9pTjNH3b2,L1,1.0
22,ZFsZz9ux9Ch04ONvDfe3dHNQNj22,gridLayoutHorizontal2,1.0
23,ZFsZz9ux9Ch04ONvDfe3dHNQNj22,gridLayoutHorizontal4,1.0
24,ZFsZz9ux9Ch04ONvDfe3dHNQNj22,gridLayoutHorizontal5,1.0
25,ZFsZz9ux9Ch04ONvDfe3dHNQNj22,gridLayoutHorizontal1,1.0
26,ZFsZz9ux9Ch04ONvDfe3dHNQNj22,gridLayoutHorizontal3,1.0
27,U7qsQi7Et7cE10FdgUn9pTjNH3b2,L3,1.0
